Name,Party Affiliation,Bundesland
"Oberrauner Petra, Mag.<sup>a</sup> Dr.<sup>in</sup>",SPÖ,Kärnten
"Ofenauer Friedrich, Mag.",ÖVP,Niederösterreich
Ottenschläger Andreas,ÖVP,Bundeswahlvorschlag
Oxonitsch Christian,SPÖ,Wien
"Petschnig Alexander, MMag.",FPÖ,Burgenland
Pfeifer Manuel,FPÖ,Steiermark
Pöttinger Laurenz,ÖVP,Oberösterreich
"Pracher-Hilander Katayun, Mag.",FPÖ,Bundeswahlvorschlag
"Pramhofer Christoph, Mag.",NEOS,Bundeswahlvorschlag
"Prammer Agnes Sirkka, Mag.",GRÜNE,Oberösterreich
"Ragger Christian, Mag.",FPÖ,Kärnten
Ranzmaier Christofer,FPÖ,Tirol
"Reifenberger Volker, Ing. Mag.",FPÖ,Salzburg
Reiter Carina,ÖVP,Salzburg
"Rosenkranz Walter, Dr.",FPÖ,Bundeswahlvorschlag
Royer Albert,FPÖ,Steiermark
"Sams Manfred, Mag.",SPÖ,Oberösterreich
Schallmeiner Ralph,GRÜNE,Bundeswahlvorschlag
"Schandor Christian, Dipl.-Ing.",FPÖ,Steiermark
Schartel Andrea Michaela,FPÖ,Bundeswahlvorschlag
Schatz Sabine,SPÖ,Oberösterreich
"Scherak Nikolaus, Dr., MA",NEOS,Niederösterreich
"Scheucher-Pichler Elisabeth, Mag.",ÖVP,Bundeswahlvorschlag
"Schiefer Arnold, Mag.",FPÖ,Bundeswahlvorschlag
"Schilchegger Michael, MMag. Dr.",FPÖ,Oberösterreich
Schmiedlechner Peter,FPÖ,Niederösterreich
Schmuckenschlager Johannes,ÖVP,Niederösterreich
"Schnabel Joachim, Mst.",ÖVP,Steiermark
Schnedlitz Michael,FPÖ,Niederösterreich
Schroll Alois,SPÖ,Niederösterreich
Schuch-Gubik Lisa,FPÖ,Niederösterreich
"Schuh Harald, Mag.",FPÖ,Oberösterreich
Schwaighofer Sebastian,FPÖ,Salzburg
"Schwarz Jakob, Mag. Dr., BA",GRÜNE,Steiermark
Seemayer Michael,SPÖ,Oberösterreich
Seltenheim Klaus,SPÖ,Bundeswahlvorschlag
"Servus Harald, Mag.",ÖVP,Niederösterreich
"Shetty Yannick, Mag.",NEOS,Wien
Sieber Norbert,ÖVP,Vorarlberg
Silvan Rudolf,SPÖ,Niederösterreich
Spalt Thomas,FPÖ,Vorarlberg
Stark Christoph,ÖVP,Steiermark
"Stefan Harald, Mag.",FPÖ,Wien
Steiner Christoph,FPÖ,Tirol
Stich Paul,SPÖ,Bundeswahlvorschlag
Stögmüller David,GRÜNE,Oberösterreich
"Strasser Georg, Dipl.-Ing.",ÖVP,Niederösterreich
Sunitsch Nicole,FPÖ,Steiermark
Tanzler Petra,SPÖ,Niederösterreich
"Taschner Rudolf, Mag. Dr.",ÖVP,Bundeswahlvorschlag
"Teiber Barbara, MA",SPÖ,Wien
"Thau Harald, Ing.",FPÖ,Niederösterreich
"Tomaselli Nina, Mag.",GRÜNE,Bundeswahlvorschlag
"Totter Agnes, MMag. Dr., BEd",ÖVP,Steiermark
"Tschank Markus, Dr.",FPÖ,Wien
"Voglauer Olga, Dipl.-Ing.",GRÜNE,Bundeswahlvorschlag
"Weber Johann, Ing.",ÖVP,Kärnten
Weinzierl Maximilian,FPÖ,Bundeswahlvorschlag
"Wieninger Pia Maria, MMag.",SPÖ,Wien
Wöginger August,ÖVP,Oberösterreich
"Wotschke Sophie Marie, Mag.",NEOS,Bundeswahlvorschlag
Wurm Peter,FPÖ,Tirol
"Yildirim Selma, Mag.",SPÖ,Tirol
"Zadić Alma, Dr., LL.M.",GRÜNE,Wien
Zanger Wolfgang,FPÖ,Steiermark
Zarits Christoph,ÖVP,Burgenland
Zopf Bettina,ÖVP,Oberösterreich
Zorba Süleyman,GRÜNE,Niederösterreich
